numer,reitur,tognumer,smareitur,lat1,lon1,lat2,lon2,dypi1,dypi2,grand,vir.uti,togst,togl,ath,sveigur,index,leid2016
1,310,1,1,632300,103900,632160,104750,430,438,45,470,250,4,,,31001,TB1
2,310,11,3,631500,104950,631700,104100,399,412,45,450,40,4,ath,,31011,TB1
3,311,1,2,632907,110122,633307,105986,333,344,45,420,20,4,ath,,31101,TB1
4,311,2,1,632530,114370,632900,114070,392,408,45,510,20,4,ath,,31102,TB1
5,311,11,3,631300,114200,631500,113400,421,428,45,485,60,4,ath,,31111,TB1
6,311,12,4,630500,112000,630700,111300,447,454,45,510,70,4,,,31112,TB1
7,311,31,2,632511,111405,632540,112300,333,345,45,420,275,4,ath,,31131,TB1
8,312,1,4,631420,121390,631240,122160,414,435,45,500,227,4,ath,,31201,TB1
9,315,1,1,632750,154700,632900,153900,192,228,35,250,60,4,,,31501,TL1
10,316,1,2,632300,161500,632300,160700,251,284,45,400,90,4,,,31601,TL1
11,316,11,2,632500,161000,632500,161900,128,156,35,200,270,4,,,31611,TL1
12,317,1,2,631470,173200,631590,172350,183,183,45,290,75,4,,,31701,TL1
13,317,11,1,632800,175300,632500,174700,125,180,35,230,140,4,,,31711,TL1
14,317,12,2,631500,172100,631700,171300,167,214,45,270,65,4,,,31712,TL1
15,318,2,2,632500,182000,632400,182900,20,35,35,100,255,4,,,31802,TL1
16,318,11,1,632058,185921,632098,185067,73,57,35,120,75,4,,,31811,TL1
17,319,1,2,632170,192660,631970,191880,95,125,35,180,115,4,,,31901,TL1
18,319,11,2,632070,191350,631990,190420,40,100,35,125,100,4,ath,,31911,TL1
19,319,12,1,632008,195094,632285,194451,136,210,35,250,45,4,,,31912,TL1
20,319,31,2,632468,192637,632324,191807,55,47,35,100,110,4,ath,,31931,TL1
21,319,32,1,632925,194500,632925,195350,46,81,35,100,270,4,,,31932,TL1
22,319,35,1,631980,194618,631656,195143,234,413,45,330,216,4,ath,,31935,TL1
